Connecting to host 10.0.0.2, port 5566
[ 24] local 10.0.0.4 port 55316 connected to 10.0.0.2 port 5566
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 24]   0.00-1.00   sec   889 KBytes  7.28 Mbits/sec    0    226 KBytes       
[ 24]   1.00-2.04   sec  7.42 MBytes  59.7 Mbits/sec   48   2.52 MBytes       
[ 24]   2.04-3.01   sec  7.50 MBytes  65.1 Mbits/sec  110   2.31 MBytes       
[ 24]   3.01-4.00   sec  0.00 Bytes  0.00 bits/sec    5   1020 KBytes       
[ 24]   4.00-5.00   sec  0.00 Bytes  0.00 bits/sec    0    202 KBytes       
[ 24]   5.00-6.00   sec  3.75 MBytes  31.5 Mbits/sec   87    107 KBytes       
[ 24]   6.00-7.00   sec  2.50 MBytes  21.0 Mbits/sec    0    107 KBytes       
[ 24]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec    0    107 KBytes       
[ 24]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec    3   2.83 KBytes       
[ 24]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec   14   15.6 KBytes       
[ 24]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec  109    151 KBytes       
[ 24]  11.00-12.00  sec  1.25 MBytes  10.5 Mbits/sec    4    156 KBytes       
[ 24]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec    0    160 KBytes       
[ 24]  13.00-14.00  sec  1.25 MBytes  10.5 Mbits/sec    0    165 KBytes       
[ 24]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec    0    171 KBytes       
[ 24]  15.00-16.00  sec  1.25 MBytes  10.5 Mbits/sec    0    177 KBytes       
[ 24]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec    0    182 KBytes       
[ 24]  17.00-18.00  sec  1.25 MBytes  10.5 Mbits/sec    0    187 KBytes       
[ 24]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec    0    192 KBytes       
[ 24]  19.00-20.00  sec  1.25 MBytes  10.5 Mbits/sec    0    198 KBytes       
[ 24]  20.00-21.00  sec  1.25 MBytes  10.5 Mbits/sec    0    204 KBytes       
[ 24]  21.00-22.03  sec  0.00 Bytes  0.00 bits/sec    2    209 KBytes       
[ 24]  22.03-23.00  sec  1.25 MBytes  10.8 Mbits/sec    0    215 KBytes       
[ 24]  23.00-24.01  sec  1.25 MBytes  10.4 Mbits/sec    0    221 KBytes       
[ 24]  24.01-25.01  sec  0.00 Bytes  0.00 bits/sec    0    225 KBytes       
[ 24]  25.01-26.02  sec  1.25 MBytes  10.4 Mbits/sec    0    230 KBytes       
[ 24]  26.02-27.01  sec  1.25 MBytes  10.6 Mbits/sec    0    238 KBytes       
[ 24]  27.01-28.00  sec  1.25 MBytes  10.6 Mbits/sec    0    245 KBytes       
[ 24]  28.00-29.00  sec  1.25 MBytes  10.5 Mbits/sec    0    250 KBytes       
[ 24]  29.00-30.00  sec  1.25 MBytes  10.5 Mbits/sec    0    257 KBytes       
[ 24]  30.00-31.00  sec  1.25 MBytes  10.5 Mbits/sec    0    264 KBytes       
[ 24]  31.00-32.00  sec  1.25 MBytes  10.5 Mbits/sec    0    272 KBytes       
[ 24]  32.00-33.00  sec  1.25 MBytes  10.5 Mbits/sec    0    277 KBytes       
[ 24]  33.00-34.00  sec  1.25 MBytes  10.5 Mbits/sec    0    283 KBytes       
[ 24]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec    0    287 KBytes       
[ 24]  35.00-36.00  sec  1.25 MBytes  10.5 Mbits/sec    0    293 KBytes       
[ 24]  36.00-37.00  sec  1.25 MBytes  10.5 Mbits/sec    0    297 KBytes       
[ 24]  37.00-38.00  sec  1.25 MBytes  10.5 Mbits/sec    0    304 KBytes       
[ 24]  38.00-39.00  sec  1.25 MBytes  10.5 Mbits/sec    0    310 KBytes       
[ 24]  39.00-40.00  sec  1.25 MBytes  10.5 Mbits/sec    0    315 KBytes       
[ 24]  40.00-41.00  sec  1.25 MBytes  10.5 Mbits/sec    0    320 KBytes       
[ 24]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec    0    324 KBytes       
[ 24]  42.00-43.00  sec  1.25 MBytes  10.5 Mbits/sec    0    329 KBytes       
[ 24]  43.00-44.00  sec  2.50 MBytes  21.0 Mbits/sec    0    337 KBytes       
[ 24]  44.00-45.00  sec  1.25 MBytes  10.5 Mbits/sec    0    342 KBytes       
[ 24]  45.00-46.01  sec  1.25 MBytes  10.4 Mbits/sec    0    349 KBytes       
[ 24]  46.01-47.00  sec  1.25 MBytes  10.6 Mbits/sec    0    354 KBytes       
[ 24]  47.00-48.00  sec  1.25 MBytes  10.5 Mbits/sec    0    361 KBytes       
[ 24]  48.00-49.00  sec  1.25 MBytes  10.5 Mbits/sec    0    365 KBytes       
[ 24]  49.00-50.03  sec  1.25 MBytes  10.2 Mbits/sec    0    370 KBytes       
[ 24]  50.03-51.00  sec  1.25 MBytes  10.8 Mbits/sec    0    375 KBytes       
[ 24]  51.00-52.00  sec  1.25 MBytes  10.5 Mbits/sec    0    380 KBytes       
[ 24]  52.00-53.01  sec  2.50 MBytes  20.8 Mbits/sec    0    386 KBytes       
