Connecting to host 10.0.0.2, port 5566
[ 24] local 10.0.0.4 port 55342 connected to 10.0.0.2 port 5566
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 24]   0.00-1.00   sec  84.8 KBytes   695 Kbits/sec    0   28.3 KBytes       
[ 24]   1.00-2.00   sec   738 KBytes  6.05 Mbits/sec    0    226 KBytes       
[ 24]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec    2    180 KBytes       
[ 24]   3.00-4.00   sec  1.49 MBytes  12.5 Mbits/sec    0    764 KBytes       
[ 24]   4.00-5.07   sec  2.12 MBytes  16.6 Mbits/sec    0   1.49 MBytes       
[ 24]   5.07-6.00   sec  1.25 MBytes  11.3 Mbits/sec    0   1.83 MBytes       
[ 24]   6.00-7.00   sec  2.50 MBytes  20.9 Mbits/sec    0   2.54 MBytes       
[ 24]   7.00-8.07   sec  3.75 MBytes  29.5 Mbits/sec   46   1.97 MBytes       
[ 24]   8.07-9.07   sec  0.00 Bytes  0.00 bits/sec    0   1.97 MBytes       
[ 24]   9.07-10.00  sec  0.00 Bytes  0.00 bits/sec    0   1.97 MBytes       
[ 24]  10.00-11.01  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[ 24]  11.01-12.02  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[ 24]  12.02-13.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[ 24]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[ 24]  14.00-15.00  sec  1.25 MBytes  10.5 Mbits/sec    1   2.83 KBytes       
[ 24]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec    4   8.48 KBytes       
[ 24]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec   14   32.5 KBytes       
[ 24]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec  145    167 KBytes       
[ 24]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec  160    276 KBytes       
[ 24]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec  302    529 KBytes       
[ 24]  20.00-21.06  sec  3.75 MBytes  29.7 Mbits/sec  480   2.01 MBytes       
[ 24]  21.06-22.00  sec  2.50 MBytes  22.3 Mbits/sec    0   2.01 MBytes       
[ 24]  22.00-23.01  sec  2.50 MBytes  20.8 Mbits/sec  173    807 KBytes       
[ 24]  23.01-24.00  sec  3.75 MBytes  31.7 Mbits/sec    0    303 KBytes       
[ 24]  24.00-25.00  sec  1.25 MBytes  10.5 Mbits/sec    0    305 KBytes       
[ 24]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec    0    308 KBytes       
[ 24]  26.00-27.00  sec  1.25 MBytes  10.4 Mbits/sec    0    311 KBytes       
[ 24]  27.00-28.10  sec  0.00 Bytes  0.00 bits/sec    0    315 KBytes       
[ 24]  28.10-29.02  sec  0.00 Bytes  0.00 bits/sec    0    317 KBytes       
[ 24]  29.02-30.09  sec  1.25 MBytes  9.89 Mbits/sec    0    320 KBytes       
[ 24]  30.09-31.00  sec  1.25 MBytes  11.4 Mbits/sec    0    322 KBytes       
[ 24]  31.00-32.01  sec  0.00 Bytes  0.00 bits/sec    0    327 KBytes       
[ 24]  32.01-33.00  sec  1.25 MBytes  10.6 Mbits/sec    0    329 KBytes       
[ 24]  33.00-34.10  sec  0.00 Bytes  0.00 bits/sec    0    332 KBytes       
[ 24]  34.10-35.00  sec  1.25 MBytes  11.6 Mbits/sec    0    335 KBytes       
[ 24]  35.00-36.10  sec  0.00 Bytes  0.00 bits/sec    0    338 KBytes       
[ 24]  36.10-37.00  sec  1.25 MBytes  11.6 Mbits/sec    0    342 KBytes       
[ 24]  37.00-38.00  sec  1.25 MBytes  10.5 Mbits/sec    0    345 KBytes       
[ 24]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec    0    348 KBytes       
