Connecting to host 10.0.0.2, port 5566
[ 24] local 10.0.0.4 port 55174 connected to 10.0.0.2 port 5566
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 24]   0.00-1.00   sec  5.88 MBytes  49.2 Mbits/sec   91    819 KBytes       
[ 24]   1.00-2.00   sec  0.00 Bytes  0.00 bits/sec   56   96.2 KBytes       
[ 24]   2.00-3.00   sec  2.50 MBytes  21.0 Mbits/sec  291    441 KBytes       
[ 24]   3.00-4.00   sec  5.00 MBytes  41.9 Mbits/sec    0    457 KBytes       
[ 24]   4.00-5.01   sec  5.00 MBytes  41.4 Mbits/sec    6    471 KBytes       
[ 24]   5.01-6.00   sec  6.25 MBytes  53.1 Mbits/sec    0    488 KBytes       
[ 24]   6.00-7.01   sec  5.00 MBytes  41.4 Mbits/sec    0    502 KBytes       
[ 24]   7.01-8.00   sec  3.75 MBytes  31.9 Mbits/sec   61    273 KBytes       
[ 24]   8.00-9.00   sec  3.75 MBytes  31.4 Mbits/sec    0    291 KBytes       
[ 24]   9.00-10.00  sec  3.75 MBytes  31.5 Mbits/sec    0    308 KBytes       
[ 24]  10.00-11.00  sec  2.50 MBytes  21.0 Mbits/sec    0    322 KBytes       
[ 24]  11.00-12.07  sec  3.75 MBytes  29.5 Mbits/sec   47    167 KBytes       
[ 24]  12.07-13.00  sec  1.25 MBytes  11.2 Mbits/sec   25    181 KBytes       
[ 24]  13.00-14.00  sec  2.50 MBytes  21.0 Mbits/sec    0    195 KBytes       
[ 24]  14.00-15.00  sec  2.50 MBytes  20.9 Mbits/sec    0    214 KBytes       
[ 24]  15.00-16.00  sec  2.50 MBytes  20.9 Mbits/sec    0    229 KBytes       
[ 24]  16.00-17.00  sec  2.50 MBytes  21.0 Mbits/sec    0    247 KBytes       
[ 24]  17.00-18.00  sec  3.75 MBytes  31.5 Mbits/sec    0    266 KBytes       
[ 24]  18.00-19.00  sec  2.50 MBytes  21.0 Mbits/sec    0    281 KBytes       
[ 24]  19.00-20.12  sec  2.50 MBytes  18.7 Mbits/sec   10    160 KBytes       
[ 24]  20.12-21.00  sec  1.25 MBytes  11.9 Mbits/sec    0    174 KBytes       
[ 24]  21.00-22.00  sec  2.50 MBytes  21.0 Mbits/sec    0    191 KBytes       
[ 24]  22.00-23.10  sec  2.50 MBytes  19.1 Mbits/sec    0    209 KBytes       
[ 24]  23.10-24.00  sec  2.50 MBytes  23.2 Mbits/sec    0    223 KBytes       
[ 24]  24.00-25.00  sec  1.25 MBytes  10.5 Mbits/sec   12    130 KBytes       
[ 24]  25.00-26.00  sec  2.50 MBytes  21.0 Mbits/sec    0    147 KBytes       
[ 24]  26.00-27.00  sec  1.25 MBytes  10.5 Mbits/sec    0    164 KBytes       
[ 24]  27.00-28.00  sec  2.50 MBytes  21.0 Mbits/sec    0    180 KBytes       
[ 24]  28.00-29.00  sec  1.25 MBytes  10.5 Mbits/sec    0    192 KBytes       
[ 24]  29.00-30.00  sec  2.50 MBytes  21.0 Mbits/sec    0    211 KBytes       
[ 24]  30.00-31.00  sec  2.50 MBytes  20.9 Mbits/sec    2    119 KBytes       
[ 24]  31.00-32.00  sec  1.25 MBytes  10.5 Mbits/sec    0    133 KBytes       
[ 24]  32.00-33.00  sec  2.50 MBytes  21.0 Mbits/sec    0    151 KBytes       
[ 24]  33.00-34.00  sec  1.25 MBytes  10.5 Mbits/sec    0    170 KBytes       
[ 24]  34.00-35.00  sec  2.50 MBytes  21.0 Mbits/sec    0    184 KBytes       
[ 24]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec   22    103 KBytes       
[ 24]  36.00-37.00  sec  2.50 MBytes  21.0 Mbits/sec    0    123 KBytes       
[ 24]  37.00-38.00  sec  1.25 MBytes  10.5 Mbits/sec    0    146 KBytes       
[ 24]  38.00-39.00  sec  2.50 MBytes  21.0 Mbits/sec    0    165 KBytes       
[ 24]  39.00-40.00  sec  2.50 MBytes  21.0 Mbits/sec    0    185 KBytes       
[ 24]  40.00-41.00  sec  2.50 MBytes  21.0 Mbits/sec    6    103 KBytes       
[ 24]  41.00-42.00  sec  1.25 MBytes  10.5 Mbits/sec    0    123 KBytes       
[ 24]  42.00-43.00  sec  1.25 MBytes  10.5 Mbits/sec    0    143 KBytes       
[ 24]  43.00-44.02  sec  2.50 MBytes  20.6 Mbits/sec    0    161 KBytes       
