Connecting to host 10.0.0.2, port 5566
[ 24] local 10.0.0.4 port 55218 connected to 10.0.0.2 port 5566
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 24]   0.00-1.00   sec  84.8 KBytes   694 Kbits/sec    1   28.3 KBytes       
[ 24]   1.00-2.00   sec   421 KBytes  3.45 Mbits/sec    0    133 KBytes       
[ 24]   2.00-3.00   sec  1.93 MBytes  16.2 Mbits/sec    1    645 KBytes       
[ 24]   3.00-4.00   sec   954 KBytes  7.81 Mbits/sec    0    904 KBytes       
[ 24]   4.00-5.00   sec  2.50 MBytes  21.0 Mbits/sec    0   1.76 MBytes       
[ 24]   5.00-6.00   sec  3.75 MBytes  31.5 Mbits/sec   11   3.17 MBytes       
[ 24]   6.00-7.00   sec  3.75 MBytes  31.4 Mbits/sec  250   1.59 MBytes       
[ 24]   7.00-8.00   sec  2.50 MBytes  21.0 Mbits/sec    0   1.59 MBytes       
[ 24]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec    0   1.59 MBytes       
[ 24]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec    0   1.59 MBytes       
[ 24]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec   17   1.34 MBytes       
[ 24]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec  113   1.18 MBytes       
[ 24]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec  103    557 KBytes       
[ 24]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec  337    773 KBytes       
[ 24]  14.00-15.00  sec  1.25 MBytes  10.5 Mbits/sec    0    776 KBytes       
[ 24]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec    5    663 KBytes       
[ 24]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec  113    382 KBytes       
[ 24]  17.00-18.00  sec  1.25 MBytes  10.5 Mbits/sec   37    424 KBytes       
[ 24]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec   53    297 KBytes       
[ 24]  19.00-20.00  sec  1.25 MBytes  10.5 Mbits/sec    0    204 KBytes       
[ 24]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec    0    208 KBytes       
[ 24]  21.00-22.06  sec  1.25 MBytes  9.96 Mbits/sec    0    211 KBytes       
[ 24]  22.06-23.00  sec  0.00 Bytes  0.00 bits/sec    0    215 KBytes       
[ 24]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    0    218 KBytes       
[ 24]  24.00-25.00  sec  1.25 MBytes  10.5 Mbits/sec    0    222 KBytes       
[ 24]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec    0    225 KBytes       
[ 24]  26.00-27.06  sec  1.25 MBytes  9.91 Mbits/sec    0    229 KBytes       
[ 24]  27.06-28.05  sec  0.00 Bytes  0.00 bits/sec    0    232 KBytes       
[ 24]  28.05-29.01  sec  1.25 MBytes  11.0 Mbits/sec    0    235 KBytes       
[ 24]  29.01-30.00  sec  0.00 Bytes  0.00 bits/sec    0    238 KBytes       
[ 24]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    0    242 KBytes       
[ 24]  31.00-32.00  sec  1.25 MBytes  10.5 Mbits/sec    0    245 KBytes       
[ 24]  32.00-33.06  sec  0.00 Bytes  0.00 bits/sec    0    247 KBytes       
[ 24]  33.06-34.00  sec  1.25 MBytes  11.1 Mbits/sec    0    250 KBytes       
[ 24]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec    0    255 KBytes       
[ 24]  35.00-36.00  sec  1.25 MBytes  10.5 Mbits/sec    0    259 KBytes       
[ 24]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    0    262 KBytes       
[ 24]  37.00-38.01  sec  1.25 MBytes  10.4 Mbits/sec    0    266 KBytes       
[ 24]  38.01-39.03  sec  0.00 Bytes  0.00 bits/sec    0    269 KBytes       
[ 24]  39.03-40.00  sec  1.25 MBytes  10.8 Mbits/sec    0    272 KBytes       
[ 24]  40.00-41.00  sec  0.00 Bytes  0.00 bits/sec    0    276 KBytes       
[ 24]  41.00-42.00  sec  1.25 MBytes  10.5 Mbits/sec    0    277 KBytes       
[ 24]  42.00-43.00  sec  0.00 Bytes  0.00 bits/sec    0    280 KBytes       
[ 24]  43.00-44.00  sec  1.25 MBytes  10.5 Mbits/sec    0    284 KBytes       
[ 24]  44.00-45.04  sec  1.25 MBytes  10.1 Mbits/sec    0    288 KBytes       
[ 24]  45.04-46.02  sec  0.00 Bytes  0.00 bits/sec    0    291 KBytes       
[ 24]  46.02-47.03  sec  1.25 MBytes  10.3 Mbits/sec    0    296 KBytes       
[ 24]  47.03-48.03  sec  0.00 Bytes  0.00 bits/sec    0    298 KBytes       
[ 24]  48.03-49.00  sec  1.25 MBytes  10.8 Mbits/sec    0    303 KBytes       
[ 24]  49.00-50.00  sec  0.00 Bytes  0.00 bits/sec    0    305 KBytes       
[ 24]  50.00-51.00  sec  1.25 MBytes  10.5 Mbits/sec    0    308 KBytes       
[ 24]  51.00-52.00  sec  1.25 MBytes  10.5 Mbits/sec    0    313 KBytes       
[ 24]  52.00-53.00  sec  0.00 Bytes  0.00 bits/sec    0    317 KBytes       
[ 24]  53.00-54.00  sec  1.25 MBytes  10.5 Mbits/sec    0    320 KBytes       
[ 24]  54.00-55.01  sec  1.25 MBytes  10.4 Mbits/sec    0    324 KBytes       
[ 24]  55.01-56.03  sec  0.00 Bytes  0.00 bits/sec    0    327 KBytes       
[ 24]  56.03-57.00  sec  1.25 MBytes  10.8 Mbits/sec    0    331 KBytes       
[ 24]  57.00-58.00  sec  0.00 Bytes  0.00 bits/sec    0    334 KBytes       
[ 24]  58.00-59.00  sec  1.25 MBytes  10.5 Mbits/sec    0    337 KBytes       
[ 24]  59.00-60.00  sec  1.25 MBytes  10.5 Mbits/sec    0    341 KBytes       
[ 24]  60.00-61.00  sec  0.00 Bytes  0.00 bits/sec    0    344 KBytes       
[ 24]  61.00-62.00  sec  1.25 MBytes  10.5 Mbits/sec    0    346 KBytes       
[ 24]  62.00-63.00  sec  0.00 Bytes  0.00 bits/sec    0    351 KBytes       
[ 24]  63.00-64.00  sec  1.25 MBytes  10.5 Mbits/sec    0    354 KBytes       
[ 24]  64.00-65.00  sec  1.25 MBytes  10.5 Mbits/sec    0    358 KBytes       
[ 24]  65.00-66.03  sec  1.25 MBytes  10.2 Mbits/sec    0    361 KBytes       
[ 24]  66.03-67.00  sec  0.00 Bytes  0.00 bits/sec    0    365 KBytes       
[ 24]  67.00-68.00  sec  1.25 MBytes  10.5 Mbits/sec    0    368 KBytes       
[ 24]  68.00-69.00  sec  1.25 MBytes  10.5 Mbits/sec    0    372 KBytes       
[ 24]  69.00-70.00  sec  0.00 Bytes  0.00 bits/sec    0    375 KBytes       
[ 24]  70.00-71.00  sec  1.25 MBytes  10.5 Mbits/sec    0    379 KBytes       
[ 24]  71.00-72.00  sec  1.25 MBytes  10.5 Mbits/sec    0    382 KBytes       
[ 24]  72.00-73.00  sec  1.25 MBytes  10.5 Mbits/sec    0    385 KBytes       
[ 24]  73.00-74.00  sec  0.00 Bytes  0.00 bits/sec    0    387 KBytes       
[ 24]  74.00-75.00  sec  1.25 MBytes  10.5 Mbits/sec    0    392 KBytes       
[ 24]  75.00-76.00  sec  1.25 MBytes  10.5 Mbits/sec    0    395 KBytes       
[ 24]  76.00-77.03  sec  0.00 Bytes  0.00 bits/sec    0    397 KBytes       
[ 24]  77.03-78.00  sec  1.25 MBytes  10.8 Mbits/sec    0    400 KBytes       
[ 24]  78.00-79.00  sec  1.25 MBytes  10.5 Mbits/sec    0    404 KBytes       
[ 24]  79.00-80.00  sec  0.00 Bytes  0.00 bits/sec    0    406 KBytes       
[ 24]  80.00-81.00  sec  1.25 MBytes  10.5 Mbits/sec    0    410 KBytes       
[ 24]  81.00-82.00  sec  1.25 MBytes  10.5 Mbits/sec    0    413 KBytes       
[ 24]  82.00-83.00  sec  0.00 Bytes  0.00 bits/sec    0    414 KBytes       
[ 24]  83.00-84.00  sec  1.25 MBytes  10.5 Mbits/sec    0    417 KBytes       
[ 24]  84.00-85.00  sec  1.25 MBytes  10.5 Mbits/sec    0    421 KBytes       
