Connecting to host 10.0.0.2, port 5566
[ 24] local 10.0.0.4 port 55192 connected to 10.0.0.2 port 5566
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 24]   0.00-1.00   sec   212 KBytes  1.74 Mbits/sec    1    113 KBytes       
[ 24]   1.00-2.00   sec  5.68 MBytes  47.6 Mbits/sec    0   1.74 MBytes       
[ 24]   2.00-3.00   sec  12.5 MBytes   105 Mbits/sec    0   7.82 MBytes       
[ 24]   3.00-4.00   sec  5.00 MBytes  41.9 Mbits/sec    0   13.0 MBytes       
[ 24]   4.00-5.00   sec  1.25 MBytes  10.5 Mbits/sec  791   5.60 MBytes       
[ 24]   5.00-6.00   sec  0.00 Bytes  0.00 bits/sec  320   4.61 MBytes       
[ 24]   6.00-7.00   sec  0.00 Bytes  0.00 bits/sec  235   3.25 MBytes       
[ 24]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec   51   2.43 MBytes       
[ 24]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec  1316   3.79 MBytes       
[ 24]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec   11    740 KBytes       
[ 24]  10.00-11.00  sec  1.25 MBytes  10.5 Mbits/sec    0    263 KBytes       
[ 24]  11.00-12.00  sec  7.50 MBytes  62.9 Mbits/sec   76   3.38 MBytes       
[ 24]  12.00-13.00  sec  7.50 MBytes  62.9 Mbits/sec    0   3.38 MBytes       
[ 24]  13.00-14.00  sec  3.75 MBytes  31.5 Mbits/sec    0   3.38 MBytes       
[ 24]  14.00-15.00  sec  7.50 MBytes  62.9 Mbits/sec  667   1.69 MBytes       
[ 24]  15.00-16.00  sec  6.25 MBytes  52.5 Mbits/sec    0   1.70 MBytes       
[ 24]  16.00-17.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1.70 MBytes       
[ 24]  17.00-18.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.71 MBytes       
[ 24]  18.00-19.00  sec  6.25 MBytes  52.5 Mbits/sec    0   1.71 MBytes       
[ 24]  19.00-20.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1.72 MBytes       
[ 24]  20.00-21.00  sec  6.25 MBytes  52.5 Mbits/sec    0   1.72 MBytes       
[ 24]  21.00-22.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.73 MBytes       
[ 24]  22.00-23.00  sec  5.00 MBytes  42.0 Mbits/sec    0   1.73 MBytes       
[ 24]  23.00-24.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.73 MBytes       
[ 24]  24.00-25.00  sec  5.00 MBytes  42.0 Mbits/sec    0   1.74 MBytes       
[ 24]  25.00-26.00  sec  2.50 MBytes  21.0 Mbits/sec  142    652 KBytes       
[ 24]  26.00-27.00  sec  3.75 MBytes  31.5 Mbits/sec    0    897 KBytes       
