Connecting to host 10.0.0.1, port 5566
[ 24] local 10.0.0.3 port 57610 connected to 10.0.0.1 port 5566
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 24]   0.00-1.00   sec   173 KBytes  1.41 Mbits/sec    0   56.6 KBytes       
[ 24]   1.00-2.00   sec  5.38 MBytes  45.1 Mbits/sec    0   1.84 MBytes       
[ 24]   2.00-3.00   sec  11.2 MBytes  94.3 Mbits/sec    0   6.15 MBytes       
[ 24]   3.00-4.00   sec  10.0 MBytes  84.0 Mbits/sec    0   15.6 MBytes       
[ 24]   4.00-5.00   sec  12.5 MBytes   105 Mbits/sec  126   8.00 MBytes       
[ 24]   5.00-6.00   sec  7.50 MBytes  63.0 Mbits/sec    0   8.00 MBytes       
[ 24]   6.00-7.00   sec  11.2 MBytes  94.4 Mbits/sec  2501   4.00 MBytes       
[ 24]   7.00-8.00   sec  8.75 MBytes  73.4 Mbits/sec    0   4.00 MBytes       
[ 24]   8.00-9.00   sec  7.50 MBytes  62.9 Mbits/sec    0   4.01 MBytes       
[ 24]   9.00-10.00  sec  7.50 MBytes  62.9 Mbits/sec    0   4.01 MBytes       
[ 24]  10.00-11.00  sec  10.0 MBytes  83.9 Mbits/sec    0   4.01 MBytes       
[ 24]  11.00-12.00  sec  8.75 MBytes  73.4 Mbits/sec    0   4.02 MBytes       
[ 24]  12.00-13.00  sec  8.75 MBytes  73.3 Mbits/sec    0   4.02 MBytes       
[ 24]  13.00-14.00  sec  11.2 MBytes  94.4 Mbits/sec    0   4.02 MBytes       
[ 24]  14.00-15.00  sec  8.75 MBytes  73.4 Mbits/sec    0   4.02 MBytes       
[ 24]  15.00-16.00  sec  7.50 MBytes  62.9 Mbits/sec    0   4.03 MBytes       
[ 24]  16.00-17.02  sec  11.2 MBytes  93.0 Mbits/sec    0   4.03 MBytes       
[ 24]  17.02-18.00  sec  6.25 MBytes  53.2 Mbits/sec    0   4.03 MBytes       
[ 24]  18.00-19.00  sec  8.75 MBytes  73.4 Mbits/sec  188   2.02 MBytes       
[ 24]  19.00-20.00  sec  10.0 MBytes  83.9 Mbits/sec    0   2.03 MBytes       
[ 24]  20.00-21.00  sec  7.50 MBytes  62.7 Mbits/sec    0   2.03 MBytes       
[ 24]  21.00-22.00  sec  8.75 MBytes  73.7 Mbits/sec    0   2.04 MBytes       
[ 24]  22.00-23.00  sec  10.0 MBytes  83.9 Mbits/sec    0   2.04 MBytes       
[ 24]  23.00-24.00  sec  8.75 MBytes  73.4 Mbits/sec    0   2.05 MBytes       
[ 24]  24.00-25.00  sec  8.75 MBytes  73.3 Mbits/sec    0   2.05 MBytes       
[ 24]  25.00-26.00  sec  7.50 MBytes  63.0 Mbits/sec    0   2.06 MBytes       
[ 24]  26.00-27.00  sec  6.25 MBytes  52.4 Mbits/sec    0   2.06 MBytes       
[ 24]  27.00-28.00  sec  8.75 MBytes  73.3 Mbits/sec    0   2.07 MBytes       
[ 24]  28.00-29.00  sec  7.50 MBytes  62.9 Mbits/sec    0   2.07 MBytes       
[ 24]  29.00-30.00  sec  10.0 MBytes  83.9 Mbits/sec    0   2.08 MBytes       
[ 24]  30.00-31.00  sec  6.25 MBytes  52.4 Mbits/sec    0   2.09 MBytes       
[ 24]  31.00-32.00  sec  8.75 MBytes  73.5 Mbits/sec    0   2.09 MBytes       
[ 24]  32.00-33.00  sec  6.25 MBytes  52.4 Mbits/sec    0   2.09 MBytes       
[ 24]  33.00-34.00  sec  7.50 MBytes  63.0 Mbits/sec    0   2.10 MBytes       
[ 24]  34.00-35.00  sec  11.2 MBytes  94.4 Mbits/sec    0   2.11 MBytes       
[ 24]  35.00-36.00  sec  6.25 MBytes  52.4 Mbits/sec    0   2.11 MBytes       
[ 24]  36.00-37.00  sec  6.25 MBytes  52.4 Mbits/sec    0   2.11 MBytes       
[ 24]  37.00-38.03  sec  7.50 MBytes  60.9 Mbits/sec    0   2.12 MBytes       
[ 24]  38.03-39.00  sec  6.25 MBytes  54.2 Mbits/sec    0   2.12 MBytes       
[ 24]  39.00-40.00  sec  5.00 MBytes  41.9 Mbits/sec    0   2.13 MBytes       
