Connecting to host 10.0.0.2, port 5566
[ 24] local 10.0.0.4 port 55156 connected to 10.0.0.2 port 5566
[ 24]  65.00-66.00  sec  0.00 Bytes  0.00 bits/sec    0   1.43 MBytes       
[ 24]  66.00-67.00  sec  0.00 Bytes  0.00 bits/sec    0   1008 KBytes       
[ 24]  67.00-68.00  sec  0.00 Bytes  0.00 bits/sec    0    761 KBytes       
[ 24]  68.00-69.33  sec  3.75 MBytes  23.7 Mbits/sec   10    843 KBytes       
[ 24]  69.33-70.10  sec  1.25 MBytes  13.6 Mbits/sec    0    892 KBytes       
[ 24]  70.10-71.00  sec  2.50 MBytes  23.3 Mbits/sec    0    946 KBytes       
[ 24]  71.00-72.00  sec  0.00 Bytes  0.00 bits/sec    0    969 KBytes       
[ 24]  72.00-73.11  sec  2.50 MBytes  18.9 Mbits/sec    0    991 KBytes       
[ 24]  73.11-74.33  sec  1.25 MBytes  8.59 Mbits/sec    0   1004 KBytes       
[ 24]  74.33-75.13  sec  1.25 MBytes  13.1 Mbits/sec    0   1005 KBytes       
[ 24]  75.13-76.00  sec  2.50 MBytes  24.1 Mbits/sec    0   1007 KBytes       
[ 24]  76.00-77.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1008 KBytes       
[ 24]  77.00-78.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1012 KBytes       
[ 24]  78.00-79.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.00 MBytes       
[ 24]  79.00-80.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.02 MBytes       
[ 24]  80.00-81.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.06 MBytes       
[ 24]  81.00-82.33  sec  1.25 MBytes  7.91 Mbits/sec    0   1.11 MBytes       
[ 24]  82.33-83.13  sec  1.25 MBytes  13.1 Mbits/sec    0   1.18 MBytes       
[ 24]  83.13-84.00  sec  2.50 MBytes  24.0 Mbits/sec    0   1.29 MBytes       
[ 24]  84.00-85.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.33 MBytes       
[ 24]  85.00-86.03  sec  3.75 MBytes  30.6 Mbits/sec    0   1.59 MBytes       
[ 24]  86.03-87.00  sec  1.25 MBytes  10.8 Mbits/sec    0   1.75 MBytes       
[ 24]  87.00-88.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.97 MBytes       
[ 24]  88.00-89.00  sec  3.75 MBytes  31.4 Mbits/sec    0   2.24 MBytes       
[ 24]  89.00-90.00  sec  1.25 MBytes  10.5 Mbits/sec   36   2.15 MBytes       
[ 24]  90.00-91.00  sec  0.00 Bytes  0.00 bits/sec    0   1.63 MBytes       
[ 24]  91.00-92.00  sec  0.00 Bytes  0.00 bits/sec    0   1.46 MBytes       
[ 24]  92.00-93.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.73 MBytes       
[ 24]  93.00-94.11  sec  3.75 MBytes  28.3 Mbits/sec   73   1.27 MBytes       
[ 24]  94.11-95.00  sec  2.50 MBytes  23.5 Mbits/sec    0   1.33 MBytes       
[ 24]  95.00-96.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.38 MBytes       
[ 24]  96.00-97.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.42 MBytes       
[ 24]  97.00-98.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.45 MBytes       
[ 24]  98.00-99.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.46 MBytes       
[ 24]  99.00-100.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.47 MBytes       
[ 24] 100.00-101.13 sec  2.50 MBytes  18.6 Mbits/sec    0   1.47 MBytes       
[ 24] 101.13-102.00 sec  2.50 MBytes  24.0 Mbits/sec    0   1.47 MBytes       
[ 24] 102.00-103.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.47 MBytes       
[ 24] 103.00-104.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.48 MBytes       
[ 24] 104.00-105.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.49 MBytes       
[ 24] 105.00-106.13 sec  3.75 MBytes  27.9 Mbits/sec    0   1.51 MBytes       
[ 24] 106.13-107.11 sec  2.50 MBytes  21.4 Mbits/sec    0   1.56 MBytes       
[ 24] 107.11-108.00 sec  1.25 MBytes  11.8 Mbits/sec    0   1.61 MBytes       
[ 24] 108.00-109.01 sec  2.50 MBytes  20.8 Mbits/sec    0   1.69 MBytes       
[ 24] 109.01-110.13 sec  1.25 MBytes  9.38 Mbits/sec   32   1.46 MBytes       
[ 24] 110.13-111.13 sec  0.00 Bytes  0.00 bits/sec    0   1.34 MBytes       
[ 24] 111.13-112.00 sec  0.00 Bytes  0.00 bits/sec    0   1.04 MBytes       
