Connecting to host 10.0.0.2, port 5566
[ 24] local 10.0.0.4 port 55244 connected to 10.0.0.2 port 5566
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 24]   0.00-1.00   sec  1.14 MBytes  9.54 Mbits/sec    1    102 KBytes       
[ 24]   1.00-2.00   sec  1.37 MBytes  11.5 Mbits/sec    0    103 KBytes       
[ 24]   2.00-3.00   sec  1.37 MBytes  11.5 Mbits/sec    0   99.0 KBytes       
[ 24]   3.00-4.00   sec  1.30 MBytes  10.9 Mbits/sec    0   90.5 KBytes       
[ 24]   4.00-5.00   sec  1.12 MBytes  9.39 Mbits/sec    0   90.5 KBytes       
[ 24]   5.00-6.00   sec   954 KBytes  7.82 Mbits/sec    0   89.1 KBytes       
[ 24]   6.00-7.00   sec  1.30 MBytes  10.9 Mbits/sec    0   89.1 KBytes       
[ 24]   7.00-8.00   sec  1.37 MBytes  11.5 Mbits/sec    0   89.1 KBytes       
[ 24]   8.00-9.00   sec  1.24 MBytes  10.4 Mbits/sec    0   90.5 KBytes       
[ 24]   9.00-10.00  sec  1.68 MBytes  14.1 Mbits/sec    0   96.2 KBytes       
[ 24]  10.00-11.00  sec  1.37 MBytes  11.5 Mbits/sec    0   94.7 KBytes       
[ 24]  11.00-12.00  sec  1.30 MBytes  11.0 Mbits/sec    0   93.3 KBytes       
[ 24]  12.00-13.00  sec  1.62 MBytes  13.5 Mbits/sec    0   94.7 KBytes       
[ 24]  13.00-14.00  sec  1.49 MBytes  12.5 Mbits/sec    0   94.7 KBytes       
[ 24]  14.00-15.00  sec  1.24 MBytes  10.4 Mbits/sec    0   89.1 KBytes       
[ 24]  15.00-16.00  sec  1.43 MBytes  12.0 Mbits/sec    0   91.9 KBytes       
[ 24]  16.00-17.00  sec  1.49 MBytes  12.5 Mbits/sec    0   90.5 KBytes       
[ 24]  17.00-18.00  sec  1.30 MBytes  11.0 Mbits/sec    0   89.1 KBytes       
[ 24]  18.00-19.00  sec  1.30 MBytes  10.9 Mbits/sec    0   94.7 KBytes       
[ 24]  19.00-20.00  sec  1.37 MBytes  11.5 Mbits/sec    0   93.3 KBytes       
[ 24]  20.00-21.00  sec  1.30 MBytes  10.9 Mbits/sec    0   99.0 KBytes       
[ 24]  21.00-22.00  sec  1.68 MBytes  14.1 Mbits/sec    0   96.2 KBytes       
[ 24]  22.00-23.00  sec  1.24 MBytes  10.4 Mbits/sec    0   96.2 KBytes       
[ 24]  23.00-24.00  sec  1.30 MBytes  10.9 Mbits/sec    0   96.2 KBytes       
[ 24]  24.00-25.00  sec  1.30 MBytes  11.0 Mbits/sec    0   93.3 KBytes       
[ 24]  25.00-26.00  sec  1.24 MBytes  10.4 Mbits/sec    0   90.5 KBytes       
[ 24]  26.00-27.00  sec  1.49 MBytes  12.5 Mbits/sec    0   96.2 KBytes       
[ 24]  27.00-28.00  sec  1.46 MBytes  12.2 Mbits/sec    0   97.6 KBytes       
[ 24]  28.00-29.00  sec  1.68 MBytes  14.1 Mbits/sec    0   99.0 KBytes       
[ 24]  29.00-30.00  sec  1.68 MBytes  14.1 Mbits/sec    0    102 KBytes       
[ 24]  30.00-31.00  sec  1.06 MBytes  8.86 Mbits/sec    0   99.0 KBytes       
[ 24]  31.00-32.00  sec  1.55 MBytes  13.0 Mbits/sec    0   93.3 KBytes       
[ 24]  32.00-33.00  sec  1.43 MBytes  12.0 Mbits/sec    0   96.2 KBytes       
[ 24]  33.00-34.00  sec  1.43 MBytes  12.0 Mbits/sec    0   97.6 KBytes       
[ 24]  34.00-35.00  sec  1.68 MBytes  14.1 Mbits/sec    0    102 KBytes       
[ 24]  35.00-36.00  sec  1.55 MBytes  13.0 Mbits/sec    0    103 KBytes       
[ 24]  36.00-37.00  sec  1.80 MBytes  15.1 Mbits/sec    0    109 KBytes       
[ 24]  37.00-38.00  sec  1.56 MBytes  13.1 Mbits/sec    0    107 KBytes       
[ 24]  38.00-39.00  sec  1.43 MBytes  12.0 Mbits/sec    0    102 KBytes       
[ 24]  39.00-40.00  sec  1.49 MBytes  12.5 Mbits/sec    0   91.9 KBytes       
[ 24]  40.00-41.00  sec  1.37 MBytes  11.5 Mbits/sec    0   93.3 KBytes       
[ 24]  41.00-42.00  sec  1.49 MBytes  12.5 Mbits/sec    0   90.5 KBytes       
[ 24]  42.00-43.00  sec  1.18 MBytes  9.91 Mbits/sec    0   86.3 KBytes       
[ 24]  43.00-44.08  sec  1.55 MBytes  12.0 Mbits/sec    0   93.3 KBytes       
[ 24]  44.08-45.00  sec  1.37 MBytes  12.5 Mbits/sec    0   96.2 KBytes       
[ 24]  45.00-46.00  sec  1.74 MBytes  14.6 Mbits/sec    0    103 KBytes       
[ 24]  46.00-47.00  sec  1.55 MBytes  13.1 Mbits/sec    0    100 KBytes       
[ 24]  47.00-48.00  sec  1.86 MBytes  15.6 Mbits/sec    0    106 KBytes       
[ 24]  48.00-49.00  sec  1.55 MBytes  13.0 Mbits/sec    0    106 KBytes       
[ 24]  49.00-50.00  sec  1.80 MBytes  15.1 Mbits/sec    0    107 KBytes       
[ 24]  50.00-51.01  sec  1.55 MBytes  12.9 Mbits/sec    0    109 KBytes       
[ 24]  51.01-52.00  sec  1.62 MBytes  13.7 Mbits/sec    0    107 KBytes       
[ 24]  52.00-53.02  sec  2.05 MBytes  16.9 Mbits/sec    0    110 KBytes       
[ 24]  53.02-54.00  sec  1.37 MBytes  11.7 Mbits/sec    0    103 KBytes       
[ 24]  54.00-55.00  sec  1.37 MBytes  11.5 Mbits/sec    0   94.7 KBytes       
[ 24]  55.00-56.00  sec  1.24 MBytes  10.4 Mbits/sec    0   93.3 KBytes       
[ 24]  56.00-57.00  sec  1.37 MBytes  11.5 Mbits/sec    0   91.9 KBytes       
[ 24]  57.00-58.00  sec  1.43 MBytes  12.0 Mbits/sec    0   94.7 KBytes       
[ 24]  58.00-59.00  sec   891 KBytes  7.30 Mbits/sec    0   91.9 KBytes       
[ 24]  59.00-60.00  sec  1.30 MBytes  10.9 Mbits/sec    0   86.3 KBytes       
[ 24]  60.00-61.00  sec  1.06 MBytes  8.87 Mbits/sec    0   87.7 KBytes       
[ 24]  61.00-62.00  sec  1.37 MBytes  11.5 Mbits/sec    0   86.3 KBytes       
[ 24]  62.00-63.00  sec  1.49 MBytes  12.5 Mbits/sec    0   89.1 KBytes       
[ 24]  63.00-64.00  sec  1.30 MBytes  10.9 Mbits/sec    0   87.7 KBytes       
[ 24]  64.00-65.00  sec  1.62 MBytes  13.6 Mbits/sec    0   96.2 KBytes       
[ 24]  65.00-66.00  sec  1.80 MBytes  15.1 Mbits/sec    0    103 KBytes       
[ 24]  66.00-67.00  sec  1.49 MBytes  12.5 Mbits/sec    0    106 KBytes       
[ 24]  67.00-68.00  sec  1.37 MBytes  11.5 Mbits/sec    0    105 KBytes       
[ 24]  68.00-69.00  sec  1.62 MBytes  13.6 Mbits/sec    0    105 KBytes       
[ 24]  69.00-70.00  sec  1.63 MBytes  13.6 Mbits/sec    0    105 KBytes       
[ 24]  70.00-71.00  sec  1.06 MBytes  8.86 Mbits/sec    0    103 KBytes       
[ 24]  71.00-72.00  sec  1.49 MBytes  12.6 Mbits/sec    0    100 KBytes       
[ 24]  72.00-73.00  sec  1.55 MBytes  13.0 Mbits/sec    0   94.7 KBytes       
[ 24]  73.00-74.00  sec  1.30 MBytes  11.0 Mbits/sec    0   93.3 KBytes       
[ 24]  74.00-75.00  sec  1.55 MBytes  13.0 Mbits/sec    0   91.9 KBytes       
[ 24]  75.00-76.00  sec  1.62 MBytes  13.6 Mbits/sec    0   99.0 KBytes       
[ 24]  76.00-77.00  sec  1.43 MBytes  12.0 Mbits/sec    0   99.0 KBytes       
[ 24]  77.00-78.00  sec  1.68 MBytes  14.1 Mbits/sec    0    102 KBytes       
[ 24]  78.00-79.00  sec  1.55 MBytes  13.0 Mbits/sec    0    103 KBytes       
[ 24]  79.00-80.00  sec  1.62 MBytes  13.5 Mbits/sec    0   99.0 KBytes       
[ 24]  80.00-81.00  sec  1.55 MBytes  13.0 Mbits/sec    0    100 KBytes       
[ 24]  81.00-82.00  sec  1.43 MBytes  12.0 Mbits/sec    0   97.6 KBytes       
[ 24]  82.00-83.00  sec  1.74 MBytes  14.6 Mbits/sec    0    100 KBytes       
[ 24]  83.00-84.00  sec  1.68 MBytes  14.1 Mbits/sec    0   99.0 KBytes       
[ 24]  84.00-85.00  sec  1.30 MBytes  10.9 Mbits/sec    0   96.2 KBytes       
[ 24]  85.00-86.00  sec  1.74 MBytes  14.6 Mbits/sec    0   97.6 KBytes       
[ 24]  86.00-87.01  sec  1.30 MBytes  10.9 Mbits/sec    0   96.2 KBytes       
[ 24]  87.01-88.00  sec  1.62 MBytes  13.6 Mbits/sec    0   94.7 KBytes       
[ 24]  88.00-89.00  sec  1.49 MBytes  12.5 Mbits/sec    0   93.3 KBytes       
[ 24]  89.00-90.00  sec  1.68 MBytes  14.1 Mbits/sec    0   91.9 KBytes       
[ 24]  90.00-91.00  sec  1.30 MBytes  10.9 Mbits/sec    0   91.9 KBytes       
[ 24]  91.00-92.00  sec  1.43 MBytes  12.0 Mbits/sec    0   97.6 KBytes       
[ 24]  92.00-93.00  sec  1.43 MBytes  12.0 Mbits/sec    0   96.2 KBytes       
[ 24]  93.00-94.01  sec  1.80 MBytes  15.0 Mbits/sec    0    105 KBytes       
[ 24]  94.01-95.00  sec  1.49 MBytes  12.6 Mbits/sec    0   99.0 KBytes       
[ 24]  95.00-96.00  sec  1.55 MBytes  13.0 Mbits/sec    0   99.0 KBytes       
