Connecting to host 10.0.0.2, port 5566
[  7] local 10.0.0.4 port 33742 connected to 10.0.0.2 port 5566
[  7]  66.00-67.01  sec   382 KBytes  3.11 Mbits/sec    0   82.0 KBytes       
[  7]  67.01-68.01  sec   382 KBytes  3.12 Mbits/sec    0   82.0 KBytes       
[  7]  68.01-69.00  sec   382 KBytes  3.14 Mbits/sec    0   82.0 KBytes       
[  7]  69.00-70.01  sec   382 KBytes  3.12 Mbits/sec    0   82.0 KBytes       
[  7]  70.01-71.01  sec   382 KBytes  3.13 Mbits/sec    0   82.0 KBytes       
[  7]  71.01-72.00  sec   382 KBytes  3.14 Mbits/sec    0   82.0 KBytes       
[  7]  72.00-73.00  sec   636 KBytes  5.21 Mbits/sec    0   99.0 KBytes       
[  7]  73.00-74.00  sec   255 KBytes  2.09 Mbits/sec    0   99.0 KBytes       
[  7]  74.00-75.00  sec   255 KBytes  2.08 Mbits/sec    0   99.0 KBytes       
[  7]  75.00-76.01  sec   445 KBytes  3.64 Mbits/sec    0   99.0 KBytes       
[  7]  76.01-77.00  sec   509 KBytes  4.17 Mbits/sec    0   99.0 KBytes       
[  7]  77.00-78.00  sec   255 KBytes  2.09 Mbits/sec    0   99.0 KBytes       
[  7]  78.00-79.00  sec   509 KBytes  4.18 Mbits/sec    0   99.0 KBytes       
[  7]  79.00-80.00  sec   255 KBytes  2.08 Mbits/sec    0   99.0 KBytes       
[  7]  80.00-81.00  sec   509 KBytes  4.16 Mbits/sec    0   99.0 KBytes       
[  7]  81.00-82.00  sec   255 KBytes  2.08 Mbits/sec    0   99.0 KBytes       
[  7]  82.00-83.01  sec   445 KBytes  3.63 Mbits/sec    0   99.0 KBytes       
[  7]  83.01-84.00  sec   255 KBytes  2.09 Mbits/sec    0   99.0 KBytes       
[  7]  84.00-85.00  sec   255 KBytes  2.09 Mbits/sec    0   99.0 KBytes       
[  7]  85.00-86.01  sec   509 KBytes  4.16 Mbits/sec    0   99.0 KBytes       
[  7]  86.01-87.01  sec   255 KBytes  2.08 Mbits/sec    0   99.0 KBytes       
[  7]  87.01-88.00  sec   255 KBytes  2.09 Mbits/sec    0   99.0 KBytes       
[  7]  88.00-89.00  sec   509 KBytes  4.16 Mbits/sec    0   99.0 KBytes       
[  7]  89.00-90.00  sec   255 KBytes  2.09 Mbits/sec    0   99.0 KBytes       
[  7]  90.00-91.00  sec   255 KBytes  2.08 Mbits/sec    0   99.0 KBytes       
[  7]  91.00-92.00  sec   445 KBytes  3.66 Mbits/sec    0   99.0 KBytes       
[  7]  92.00-93.01  sec   509 KBytes  4.15 Mbits/sec    0   99.0 KBytes       
[  7]  93.01-94.00  sec   255 KBytes  2.09 Mbits/sec    0   99.0 KBytes       
[  7]  94.00-95.00  sec   445 KBytes  3.64 Mbits/sec    0   99.0 KBytes       
[  7]  95.00-96.00  sec   255 KBytes  2.09 Mbits/sec    0   99.0 KBytes       
[  7]  96.00-97.00  sec   509 KBytes  4.18 Mbits/sec    0   99.0 KBytes       
[  7]  97.00-98.01  sec   255 KBytes  2.07 Mbits/sec    0   99.0 KBytes       
[  7]  98.01-99.00  sec   509 KBytes  4.20 Mbits/sec    0   99.0 KBytes       
[  7]  99.00-100.00 sec   255 KBytes  2.08 Mbits/sec    0   99.0 KBytes       
[  7] 100.00-101.01 sec   255 KBytes  2.08 Mbits/sec    0   99.0 KBytes       
[  7] 101.01-102.01 sec   255 KBytes  2.08 Mbits/sec    0   99.0 KBytes       
[  7] 102.01-103.00 sec   509 KBytes  4.19 Mbits/sec    0   99.0 KBytes       
[  7] 103.00-104.00 sec   191 KBytes  1.56 Mbits/sec    0   99.0 KBytes       
[  7] 104.00-105.00 sec   191 KBytes  1.56 Mbits/sec    0   99.0 KBytes       
[  7] 105.00-106.00 sec   255 KBytes  2.09 Mbits/sec    0   99.0 KBytes       
[  7] 106.00-107.00 sec   382 KBytes  3.13 Mbits/sec    0   99.0 KBytes       
[  7] 107.00-108.00 sec   255 KBytes  2.09 Mbits/sec    0   99.0 KBytes       
[  7] 108.00-109.00 sec   255 KBytes  2.09 Mbits/sec    0   99.0 KBytes       
[  7] 109.00-110.01 sec   191 KBytes  1.56 Mbits/sec    0   99.0 KBytes       
[  7] 110.01-111.00 sec   445 KBytes  3.66 Mbits/sec    0   99.0 KBytes       
[  7] 111.00-112.00 sec   255 KBytes  2.09 Mbits/sec    0   99.0 KBytes       
[  7] 112.00-113.00 sec   255 KBytes  2.08 Mbits/sec    0   99.0 KBytes       
[  7] 113.00-114.01 sec   255 KBytes  2.08 Mbits/sec    0   99.0 KBytes       
[  7] 114.01-115.01 sec   191 KBytes  1.56 Mbits/sec    0   99.0 KBytes       
[  7] 115.01-116.00 sec   382 KBytes  3.14 Mbits/sec    0   99.0 KBytes       
[  7] 116.00-117.01 sec   445 KBytes  3.64 Mbits/sec    0   99.0 KBytes       
[  7] 117.01-118.01 sec   191 KBytes  1.56 Mbits/sec    0   99.0 KBytes       
[  7] 118.01-119.01 sec   191 KBytes  1.57 Mbits/sec    0   99.0 KBytes       
[  7] 119.01-120.00 sec   445 KBytes  3.68 Mbits/sec    0   99.0 KBytes       
