Connecting to host 10.0.0.1, port 5566
[  7] local 10.0.0.3 port 49050 connected to 10.0.0.1 port 5566
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  7]   0.00-1.01   sec   795 KBytes  6.45 Mbits/sec    0   82.0 KBytes       
[  7]   1.01-2.00   sec   191 KBytes  1.58 Mbits/sec    0   82.0 KBytes       
[  7]   2.00-3.00   sec   382 KBytes  3.12 Mbits/sec    0   82.0 KBytes       
[  7]   3.00-4.01   sec   382 KBytes  3.12 Mbits/sec    0   82.0 KBytes       
[  7]   4.01-5.01   sec   191 KBytes  1.56 Mbits/sec    0   82.0 KBytes       
[  7]   5.01-6.00   sec   382 KBytes  3.14 Mbits/sec    0   82.0 KBytes       
[  7]   6.00-7.01   sec   382 KBytes  3.11 Mbits/sec    0   82.0 KBytes       
[  7]   7.01-8.00   sec   191 KBytes  1.57 Mbits/sec    0   82.0 KBytes       
[  7]   8.00-9.00   sec   382 KBytes  3.13 Mbits/sec    0   82.0 KBytes       
[  7]   9.00-10.00  sec   191 KBytes  1.56 Mbits/sec    0   82.0 KBytes       
[  7]  10.00-11.01  sec   382 KBytes  3.11 Mbits/sec    0   82.0 KBytes       
[  7]  11.01-12.01  sec   191 KBytes  1.57 Mbits/sec    0   82.0 KBytes       
[  7]  12.01-13.01  sec   382 KBytes  3.13 Mbits/sec    0   82.0 KBytes       
[  7]  13.01-14.00  sec   382 KBytes  3.14 Mbits/sec    0   82.0 KBytes       
[  7]  14.00-15.00  sec   191 KBytes  1.57 Mbits/sec    0   82.0 KBytes       
[  7]  15.00-16.01  sec   382 KBytes  3.10 Mbits/sec    0   82.0 KBytes       
[  7]  16.01-17.00  sec   382 KBytes  3.15 Mbits/sec    0   82.0 KBytes       
[  7]  17.00-18.00  sec   191 KBytes  1.57 Mbits/sec    0   82.0 KBytes       
[  7]  18.00-19.00  sec   382 KBytes  3.12 Mbits/sec    0   82.0 KBytes       
[  7]  19.00-20.01  sec   191 KBytes  1.55 Mbits/sec    0   82.0 KBytes       
[  7]  20.01-21.00  sec   382 KBytes  3.14 Mbits/sec    0   82.0 KBytes       
[  7]  21.00-22.00  sec   191 KBytes  1.57 Mbits/sec    0   82.0 KBytes       
[  7]  22.00-23.00  sec   382 KBytes  3.12 Mbits/sec    0   82.0 KBytes       
[  7]  23.00-24.00  sec   191 KBytes  1.56 Mbits/sec    0   82.0 KBytes       
[  7]  24.00-25.01  sec   382 KBytes  3.11 Mbits/sec    0   82.0 KBytes       
[  7]  25.01-26.00  sec   191 KBytes  1.58 Mbits/sec    0   82.0 KBytes       
[  7]  26.00-27.01  sec   382 KBytes  3.12 Mbits/sec    0   82.0 KBytes       
[  7]  27.01-28.01  sec   382 KBytes  3.13 Mbits/sec    0   82.0 KBytes       
[  7]  28.01-29.00  sec   191 KBytes  1.57 Mbits/sec    0   82.0 KBytes       
[  7]  29.00-30.00  sec   382 KBytes  3.13 Mbits/sec    0   82.0 KBytes       
[  7]  30.00-31.01  sec   382 KBytes  3.11 Mbits/sec    0   82.0 KBytes       
[  7]  31.01-32.01  sec   191 KBytes  1.56 Mbits/sec    0   82.0 KBytes       
[  7]  32.01-33.00  sec   382 KBytes  3.15 Mbits/sec    0   82.0 KBytes       
[  7]  33.00-34.00  sec   382 KBytes  3.13 Mbits/sec    0   82.0 KBytes       
[  7]  34.00-35.00  sec   191 KBytes  1.56 Mbits/sec    0   82.0 KBytes       
[  7]  35.00-36.00  sec   191 KBytes  1.56 Mbits/sec    0   82.0 KBytes       
[  7]  36.00-37.01  sec   382 KBytes  3.11 Mbits/sec    0   82.0 KBytes       
[  7]  37.01-38.01  sec   191 KBytes  1.57 Mbits/sec    0   82.0 KBytes       
